Ccode,ind,hum,lnpat,lngdp,inn,Qua,Mea,The level of science and education,The administrative level
94,0.1425,0.0163,7.466799475,11.25963812,0,0,0,0,0
95,0.2667,0.0222,8.725832057,11.2186438,0,0,0,0,0
96,0.1123,0.015,7.717351272,10.80725985,0,0,0,0,0
97,0.2926,0.0083,8.332548939,10.67442529,0,0,0,0,0
98,0.0872,0.0087,8.490438454,11.39852701,0,0,0,0,0
99,0.1523,0.0217,7.990576882,11.35776831,0,0,0,0,0
100,0.089,0.0046,7.98752448,10.7071333,0,0,0,0,0
101,0.1771,0.013,8.679822115,10.93873681,0,0,0,0,0
102,0.2504,0.0085,8.755264763,11.43823953,0,0,0,0,0
103,0.1673,0.0125,8.787525626,10.7844031,0,1,0,0,0
104,0.1387,0.0251,7.642524134,12.09823997,0,0,0,0,0
105,0.1644,0.0731,7.777373603,11.02836358,0,0,0,0,0
106,0.3604,0.009,8.055157732,10.94829357,0,8,0,0,0
107,0.3046,0.0133,7.639161172,10.87686574,0,1,0,0,0
108,0.2682,0.0277,9.035748861,11.26583957,0,0,0,0,0
109,0.1695,0.0096,8.643649615,11.26743993,0,0,0,0,0
110,0.1427,0.0101,7.115582126,11.139422,0,0,0,0,0
111,0.1299,0.0163,7.094234846,11.00826364,0,0,0,0,0
112,0.141,0.0249,8.167919363,11.14942485,0,0,0,0,0
113,0.2437,0.0198,7.21964204,10.97196275,0,0,0,0,0
114,0.1933,0.034,7.50659178,11.1759058,0,0,0,0,0
115,0.031,0.0131,6.983789965,11.19595422,0,0,0,0,0
116,0.0697,0.0058,8.542080907,11.0074689,0,0,0,0,0
117,0.0809,0.018,7.836764783,10.68134346,0,0,0,0,0
118,0.1655,0.0074,7.19518732,11.50938641,0,0,0,0,0
119,0.0468,0.0093,9.088172738,10.87181707,0,0,0,0,0
120,0.1397,0.0076,7.972121129,10.7673083,0,0,0,0,0
121,0.08,0.0045,7.754052639,11.09721288,0,0,0,0,0
122,0.096,0.0165,7.775275846,11.68003194,0,1,0,0,0
123,0.1734,0.0549,7.323170718,11.56088385,0,0,0,0,0
124,0.1528,0.052,7.252762418,12.46392509,0,0,0,0,0
125,0.0518,0.0036,6.86171134,10.43460186,0,0,0,0,0
126,0.1705,0.0353,7.933438388,11.45664385,0,0,0,0,0
127,0.0793,0.0059,7.544332108,10.82740195,0,0,0,0,0
128,0.2591,0.0122,6.956545443,10.85806702,0,2,0,0,0
129,0.1915,0.0294,7.311218384,11.06146626,0,0,0,0,0
130,0.1489,0.0333,7.788211558,11.33559145,0,0,0,0,0
131,0.1923,0.0047,6.22059017,10.75545883,0,0,0,0,0
132,0.1298,0.0246,7.705712824,11.27828369,0,0,0,0,0
133,0.1092,0.0026,4.430816799,10.52679257,0,0,0,0,0
134,0.0966,0.0054,7.344072851,11.07439895,0,3,0,0,0
135,0.0435,0.0297,6.552507887,10.42101566,0,1,0,0,0
136,0.0763,0.0332,6.9902565,11.61360837,0,1,0,0,0
137,0.2006,0.005,6.862757913,10.28727472,0,2,0,0,0
138,0.0435,0.0089,6.553933404,11.75428128,0,0,0,0,0
139,0.0527,0.0291,7.363279587,11.44007731,0,0,0,0,0
140,0.0618,0.0095,5.958424693,11.2836914,0,0,0,0,0
141,0.05,0.0171,5.198497031,11.16988317,0,1,0,0,0
